Datum,MaschinenID,Wartungsgrund,Wartungsdauer
2023-01-04,M01,Austausch von Verschleißteilen,7
2023-01-06,M01,Routine-Check,7
2023-01-09,M01,Routine-Check,3
2023-01-17,M01,Austausch von Verschleißteilen,8
2023-01-18,M01,Notfallreparatur,8
2023-01-23,M01,Austausch von Verschleißteilen,7
2023-01-24,M01,Routine-Check,15
2023-01-25,M01,Routine-Check,2
2023-02-03,M01,Notfallreparatur,11
2023-02-06,M01,Routine-Check,12
2023-02-08,M01,Notfallreparatur,10
2023-02-11,M01,Notfallreparatur,12
2023-02-15,M01,Austausch von Verschleißteilen,6
2023-02-15,M01,Notfallreparatur,14
2023-02-15,M01,Austausch von Verschleißteilen,10
2023-02-18,M01,Notfallreparatur,14
2023-02-20,M01,Routine-Check,12
2023-02-27,M01,Notfallreparatur,1
2023-03-02,M01,Austausch von Verschleißteilen,3
2023-03-06,M01,Routine-Check,4
2023-03-11,M01,Notfallreparatur,1
2023-03-18,M01,Austausch von Verschleißteilen,10
2023-03-27,M01,Routine-Check,4
2023-03-27,M01,Austausch von Verschleißteilen,7
2023-03-29,M01,Routine-Check,8
2023-04-05,M01,Routine-Check,2
2023-04-10,M01,Routine-Check,5
2023-04-14,M01,Notfallreparatur,13
2023-04-17,M01,Notfallreparatur,9
2023-04-19,M01,Notfallreparatur,12
2023-04-28,M01,Austausch von Verschleißteilen,1
2023-05-13,M01,Notfallreparatur,8
2023-05-14,M01,Routine-Check,2
2023-05-15,M01,Austausch von Verschleißteilen,3
2023-05-16,M01,Routine-Check,4
2023-05-16,M01,Routine-Check,7
2023-05-27,M01,Notfallreparatur,8
2023-05-29,M01,Routine-Check,3
2023-05-29,M01,Notfallreparatur,14
2023-05-30,M01,Routine-Check,13
2023-05-31,M01,Austausch von Verschleißteilen,3
2023-06-05,M01,Notfallreparatur,12
2023-06-10,M01,Austausch von Verschleißteilen,9
2023-06-12,M01,Notfallreparatur,8
2023-06-12,M01,Austausch von Verschleißteilen,2
2023-06-17,M01,Austausch von Verschleißteilen,15
2023-06-19,M01,Notfallreparatur,15
2023-06-22,M01,Austausch von Verschleißteilen,2
2023-07-05,M01,Notfallreparatur,1
2023-07-07,M01,Austausch von Verschleißteilen,11
2023-07-07,M01,Notfallreparatur,6
2023-07-08,M01,Routine-Check,6
2023-07-09,M01,Notfallreparatur,11
2023-07-12,M01,Notfallreparatur,1
2023-07-13,M01,Austausch von Verschleißteilen,8
2023-07-13,M01,Routine-Check,7
2023-07-18,M01,Austausch von Verschleißteilen,13
2023-07-23,M01,Notfallreparatur,11
2023-07-24,M01,Notfallreparatur,13
2023-07-25,M01,Austausch von Verschleißteilen,15
2023-07-25,M01,Notfallreparatur,15
2023-07-26,M01,Notfallreparatur,4
2023-07-28,M01,Notfallreparatur,1
2023-07-31,M01,Routine-Check,11
2023-08-08,M01,Notfallreparatur,9
2023-08-09,M01,Routine-Check,12
2023-08-12,M01,Austausch von Verschleißteilen,4
2023-08-13,M01,Austausch von Verschleißteilen,10
2023-08-15,M01,Routine-Check,11
2023-08-17,M01,Austausch von Verschleißteilen,14
2023-08-18,M01,Austausch von Verschleißteilen,8
2023-09-03,M01,Austausch von Verschleißteilen,7
2023-09-08,M01,Notfallreparatur,5
2023-09-10,M01,Austausch von Verschleißteilen,11
2023-09-16,M01,Notfallreparatur,2
2023-09-17,M01,Routine-Check,5
2023-09-18,M01,Routine-Check,11
2023-09-22,M01,Austausch von Verschleißteilen,6
2023-09-24,M01,Notfallreparatur,13
2023-10-02,M01,Austausch von Verschleißteilen,15
2023-10-05,M01,Notfallreparatur,9
2023-10-08,M01,Routine-Check,10
2023-10-21,M01,Routine-Check,6
2023-10-22,M01,Routine-Check,13
2023-10-24,M01,Routine-Check,14
2023-10-27,M01,Austausch von Verschleißteilen,10
2023-10-29,M01,Notfallreparatur,15
2023-11-02,M01,Austausch von Verschleißteilen,5
2023-11-07,M01,Notfallreparatur,2
2023-11-07,M01,Notfallreparatur,13
2023-11-15,M01,Austausch von Verschleißteilen,14
2023-11-15,M01,Notfallreparatur,9
2023-11-17,M01,Routine-Check,2
2023-11-19,M01,Austausch von Verschleißteilen,10
2023-11-22,M01,Notfallreparatur,6
2023-11-23,M01,Austausch von Verschleißteilen,14
2023-12-03,M01,Notfallreparatur,9
2023-12-04,M01,Austausch von Verschleißteilen,11
2023-12-10,M01,Austausch von Verschleißteilen,5
2023-12-12,M01,Notfallreparatur,13
