Datum,MaschinenID,Temperatur,Druck
2023-01-03,M02,74.9,4.6
2023-01-06,M02,80.9,8.6
2023-01-06,M02,80.6,8.4
2023-01-07,M02,78.9,7.3
2023-01-09,M02,74.1,4.1
2023-01-10,M02,80.6,8.4
2023-01-11,M02,73.0,3.4
2023-01-11,M02,76.6,5.8
2023-01-22,M02,74.3,4.2
2023-01-23,M02,74.1,4.1
2023-01-31,M02,80.9,8.6
2023-02-04,M02,78.3,6.9
2023-02-21,M02,79.7,7.8
2023-02-26,M02,74.8,4.6
2023-03-01,M02,74.4,4.3
2023-03-01,M02,80.8,8.6
2023-03-10,M02,73.7,3.8
2023-03-11,M02,75.2,4.8
2023-03-14,M02,74.9,4.6
2023-03-25,M02,79.6,7.8
2023-03-27,M02,76.1,5.4
2023-03-28,M02,79.4,7.6
2023-04-01,M02,80.5,8.4
2023-04-04,M02,77.2,6.2
2023-04-08,M02,80.6,8.4
2023-04-10,M02,72.6,3.1
2023-04-13,M02,79.3,7.6
2023-04-16,M02,79.6,7.8
2023-04-23,M02,74.5,4.4
2023-04-24,M02,73.2,3.5
2023-05-03,M02,79.9,8.0
2023-05-07,M02,72.8,3.2
2023-05-12,M02,74.9,4.6
2023-05-15,M02,77.8,6.6
2023-05-17,M02,75.5,5.0
2023-05-21,M02,75.6,5.1
2023-05-23,M02,72.5,3.0
2023-05-26,M02,80.2,8.2
2023-05-31,M02,78.1,6.8
2023-06-04,M02,73.1,3.4
2023-06-05,M02,73.3,3.6
2023-06-06,M02,76.0,5.4
2023-06-08,M02,74.2,4.2
2023-06-09,M02,78.3,6.9
2023-06-11,M02,72.9,3.3
2023-06-13,M02,74.1,4.1
2023-06-14,M02,72.4,3.0
2023-06-16,M02,73.1,3.4
2023-06-19,M02,74.2,4.2
2023-06-21,M02,76.9,6.0
2023-06-22,M02,74.6,4.4
2023-06-25,M02,76.5,5.7
2023-06-26,M02,77.4,6.3
2023-06-29,M02,78.5,7.0
2023-07-05,M02,79.2,7.5
2023-07-11,M02,79.8,7.9
2023-07-18,M02,76.9,6.0
2023-07-29,M02,74.2,4.2
2023-08-04,M02,76.6,5.8
2023-08-05,M02,72.3,2.9
2023-08-06,M02,73.1,3.4
2023-08-09,M02,72.2,2.8
2023-08-14,M02,75.9,5.3
2023-08-17,M02,76.6,5.8
2023-08-23,M02,80.3,8.2
2023-08-24,M02,78.1,6.8
2023-08-26,M02,74.7,4.5
2023-08-31,M02,74.6,4.4
2023-09-03,M02,79.3,7.6
2023-09-05,M02,80.4,8.3
2023-09-06,M02,78.0,6.7
2023-09-07,M02,75.0,4.7
2023-09-07,M02,77.6,6.4
2023-09-08,M02,76.7,5.8
2023-09-15,M02,77.6,6.4
2023-09-15,M02,77.2,6.2
2023-09-29,M02,81.0,8.7
2023-10-14,M02,79.2,7.5
2023-10-16,M02,76.2,5.5
2023-10-26,M02,73.8,3.9
2023-10-27,M02,77.8,6.6
2023-11-05,M02,77.8,6.6
2023-11-11,M02,73.5,3.7
2023-11-13,M02,78.8,7.2
2023-11-16,M02,79.2,7.5
2023-11-20,M02,73.6,3.8
2023-11-24,M02,73.4,3.6
2023-11-28,M02,78.5,7.0
2023-12-04,M02,77.4,6.3
2023-12-04,M02,79.3,7.6
2023-12-06,M02,78.3,6.9
2023-12-07,M02,72.7,3.2
2023-12-07,M02,73.0,3.4
2023-12-08,M02,79.6,7.8
2023-12-08,M02,80.3,8.2
2023-12-14,M02,73.5,3.7
2023-12-16,M02,76.2,5.5
2023-12-17,M02,74.3,4.2
2023-12-21,M02,73.8,3.9
2023-12-31,M02,78.7,7.2
