Datum,MaschinenID,Temperatur,Druck
2022-01-02,M03,78.3,6.9
2022-01-04,M03,76.7,5.8
2022-01-07,M03,79.9,8.0
2022-01-09,M03,77.1,6.1
2022-01-10,M03,78.5,7.0
2022-01-13,M03,75.8,5.2
2022-01-19,M03,73.6,3.8
2022-02-02,M03,77.9,6.6
2022-02-03,M03,73.6,3.8
2022-02-09,M03,74.6,4.4
2022-02-18,M03,75.0,4.7
2022-02-19,M03,78.1,6.8
2022-02-20,M03,75.7,5.2
2022-02-21,M03,78.5,7.0
2022-02-22,M03,80.2,8.2
2022-02-24,M03,74.7,4.5
2022-02-26,M03,74.1,4.1
2022-02-28,M03,80.5,8.4
2022-03-05,M03,72.9,3.3
2022-03-08,M03,73.9,4.0
2022-03-08,M03,77.7,6.5
2022-03-14,M03,78.4,7.0
2022-03-22,M03,75.5,5.0
2022-03-30,M03,79.7,7.8
2022-04-04,M03,74.9,4.6
2022-04-06,M03,74.5,4.4
2022-04-07,M03,72.5,3.0
2022-04-08,M03,74.7,4.5
2022-04-12,M03,75.1,4.8
2022-04-13,M03,74.4,4.3
2022-04-15,M03,76.5,5.7
2022-04-22,M03,79.7,7.8
2022-04-26,M03,78.6,7.1
2022-05-05,M03,76.5,5.7
2022-05-06,M03,76.4,5.6
2022-05-16,M03,78.9,7.3
2022-05-17,M03,79.5,7.7
2022-05-19,M03,79.7,7.8
2022-05-27,M03,80.7,8.5
2022-06-02,M03,80.4,8.3
2022-06-03,M03,79.4,7.6
2022-06-06,M03,78.6,7.1
2022-06-07,M03,76.5,5.7
2022-06-09,M03,79.0,7.4
2022-06-11,M03,74.5,4.4
2022-06-15,M03,72.1,2.8
2022-06-17,M03,74.4,4.3
2022-06-18,M03,77.3,6.2
2022-06-18,M03,78.4,7.0
2022-06-24,M03,80.8,8.6
2022-06-29,M03,77.5,6.4
2022-07-02,M03,77.0,6.0
2022-07-06,M03,77.8,6.6
2022-07-07,M03,73.7,3.8
2022-07-08,M03,76.6,5.8
2022-07-09,M03,78.5,7.0
2022-07-15,M03,80.1,8.1
2022-07-24,M03,76.4,5.6
2022-07-25,M03,73.8,3.9
2022-08-05,M03,73.2,3.5
2022-08-05,M03,73.4,3.6
2022-08-08,M03,72.9,3.3
2022-08-15,M03,74.1,4.1
2022-08-16,M03,74.1,4.1
2022-08-27,M03,76.7,5.8
2022-08-30,M03,74.9,4.6
2022-09-05,M03,75.9,5.3
2022-09-06,M03,72.1,2.8
2022-09-07,M03,75.5,5.0
2022-09-10,M03,74.1,4.1
2022-09-13,M03,78.6,7.1
2022-09-22,M03,77.1,6.1
2022-10-02,M03,73.0,3.4
2022-10-04,M03,73.3,3.6
2022-10-15,M03,77.4,6.3
2022-10-19,M03,76.9,6.0
2022-10-26,M03,79.1,7.4
2022-10-29,M03,75.6,5.1
2022-11-02,M03,79.1,7.4
2022-11-09,M03,78.4,7.0
2022-11-14,M03,75.6,5.1
2022-11-17,M03,78.5,7.0
2022-11-17,M03,75.7,5.2
2022-11-18,M03,77.1,6.1
2022-11-18,M03,80.1,8.1
2022-11-21,M03,73.2,3.5
2022-11-23,M03,77.7,6.5
2022-11-23,M03,72.9,3.3
2022-11-28,M03,79.6,7.8
2022-12-01,M03,77.6,6.4
2022-12-03,M03,73.0,3.4
2022-12-05,M03,79.7,7.8
2022-12-13,M03,78.3,6.9
2022-12-15,M03,73.4,3.6
2022-12-20,M03,75.7,5.2
2022-12-20,M03,76.0,5.4
2022-12-26,M03,79.9,8.0
2022-12-26,M03,76.5,5.7
2022-12-28,M03,74.1,4.1
2022-12-30,M03,77.6,6.4
