Datum,MaschinenID,Temperatur,Druck
2022-01-06,M02,78.3,6.9
2022-01-10,M02,80.9,8.6
2022-01-14,M02,73.9,4.0
2022-01-14,M02,72.5,3.0
2022-01-18,M02,74.6,4.4
2022-01-19,M02,75.9,5.3
2022-01-19,M02,75.4,5.0
2022-01-20,M02,78.9,7.3
2022-01-26,M02,77.0,6.0
2022-01-31,M02,73.1,3.4
2022-02-03,M02,75.8,5.2
2022-02-06,M02,72.4,3.0
2022-02-06,M02,76.5,5.7
2022-02-07,M02,74.4,4.3
2022-02-08,M02,76.6,5.8
2022-02-16,M02,80.6,8.4
2022-02-28,M02,74.9,4.6
2022-03-08,M02,74.2,4.2
2022-03-15,M02,75.1,4.8
2022-03-19,M02,78.1,6.8
2022-03-20,M02,75.3,4.9
2022-03-26,M02,73.2,3.5
2022-03-26,M02,75.4,5.0
2022-03-29,M02,76.7,5.8
2022-03-29,M02,73.4,3.6
2022-03-30,M02,77.8,6.6
2022-03-31,M02,75.9,5.3
2022-04-02,M02,75.9,5.3
2022-04-02,M02,80.5,8.4
2022-04-03,M02,73.6,3.8
2022-04-07,M02,75.1,4.8
2022-04-13,M02,76.9,6.0
2022-04-18,M02,75.4,5.0
2022-04-23,M02,79.6,7.8
2022-04-24,M02,72.8,3.2
2022-04-25,M02,78.9,7.3
2022-04-28,M02,76.4,5.6
2022-05-11,M02,76.9,6.0
2022-05-12,M02,79.6,7.8
2022-05-13,M02,74.1,4.1
2022-05-19,M02,72.8,3.2
2022-05-19,M02,72.9,3.3
2022-05-26,M02,76.5,5.7
2022-05-29,M02,72.7,3.2
2022-06-04,M02,79.7,7.8
2022-06-11,M02,73.9,4.0
2022-06-12,M02,76.9,6.0
2022-06-13,M02,73.1,3.4
2022-06-15,M02,73.0,3.4
2022-06-20,M02,73.8,3.9
2022-06-25,M02,77.1,6.1
2022-07-02,M02,72.3,2.9
2022-07-09,M02,76.6,5.8
2022-07-09,M02,73.7,3.8
2022-07-16,M02,80.5,8.4
2022-07-19,M02,74.5,4.4
2022-07-19,M02,73.0,3.4
2022-07-20,M02,78.4,7.0
2022-07-29,M02,80.4,8.3
2022-08-18,M02,73.3,3.6
2022-08-18,M02,72.3,2.9
2022-08-20,M02,77.0,6.0
2022-08-22,M02,77.9,6.6
2022-08-27,M02,75.0,4.7
2022-08-28,M02,76.7,5.8
2022-08-28,M02,74.2,4.2
2022-09-10,M02,75.7,5.2
2022-10-01,M02,77.7,6.5
2022-10-02,M02,79.5,7.7
2022-10-04,M02,77.1,6.1
2022-10-05,M02,72.5,3.0
2022-10-05,M02,72.6,3.1
2022-10-07,M02,80.4,8.3
2022-10-09,M02,73.6,3.8
2022-10-13,M02,79.9,8.0
2022-10-16,M02,75.6,5.1
2022-10-19,M02,80.9,8.6
2022-11-02,M02,74.9,4.6
2022-11-09,M02,79.5,7.7
2022-11-12,M02,75.5,5.0
2022-11-13,M02,76.5,5.7
2022-11-19,M02,74.6,4.4
2022-11-23,M02,78.5,7.0
2022-11-24,M02,72.3,2.9
2022-11-25,M02,76.6,5.8
2022-12-02,M02,76.1,5.4
2022-12-04,M02,72.3,2.9
2022-12-06,M02,80.9,8.6
2022-12-08,M02,79.8,7.9
2022-12-09,M02,79.8,7.9
2022-12-09,M02,73.2,3.5
2022-12-12,M02,73.0,3.4
2022-12-14,M02,77.5,6.4
2022-12-15,M02,74.8,4.6
2022-12-20,M02,73.1,3.4
2022-12-23,M02,78.6,7.1
2022-12-25,M02,76.4,5.6
2022-12-26,M02,72.3,2.9
2022-12-27,M02,75.4,5.0
2022-12-27,M02,80.6,8.4
