Datum,MaschinenID,Produktionsmenge,Fehlerquote,Effizienz,Verbrauchte_Rohstoffe
2022-01-13,M03,847,12.1,80.6,729.2
2022-01-14,M03,755,2.5,97.7,743.2
2022-01-16,M03,799,3.8,85.1,650.6
2022-01-24,M03,853,3.6,83.6,797.7
2022-01-30,M03,1064,9.0,84.9,1236.1
2022-01-30,M03,924,6.2,99.1,1026.5
2022-02-03,M03,1184,5.4,83.2,1100.3
2022-02-05,M03,724,0.4,88.2,660.0
2022-02-05,M03,829,4.3,89.9,865.3
2022-02-06,M03,832,6.3,81.8,685.7
2022-02-06,M03,1187,1.2,95.2,1235.3
2022-02-07,M03,1001,5.8,98.6,814.5
2022-02-08,M03,975,5.3,92.9,1165.7
2022-02-09,M03,777,0.7,92.8,653.4
2022-02-10,M03,1036,11.6,99.8,1205.4
2022-02-12,M03,799,0.8,81.4,841.1
2022-02-12,M03,1054,8.6,86.7,1159.3
2022-02-17,M03,952,4.6,95.2,775.9
2022-02-19,M03,963,12.1,81.2,802.3
2022-02-20,M03,939,3.7,92.8,887.6
2022-02-26,M03,1136,10.7,81.2,1273.4
2022-02-28,M03,1040,11.3,87.1,957.3
2022-03-02,M03,995,7.5,100.0,1106.2
2022-03-07,M03,768,11.0,96.5,751.6
2022-03-19,M03,1132,8.8,94.3,1260.3
2022-03-23,M03,743,11.4,83.2,735.9
2022-03-23,M03,1070,3.4,93.9,1186.1
2022-04-10,M03,1012,9.9,82.5,1094.6
2022-04-16,M03,983,7.7,89.6,788.5
2022-04-25,M03,843,4.8,96.1,790.0
2022-04-25,M03,1155,9.9,94.6,1264.5
2022-05-04,M03,819,7.3,95.5,753.0
2022-05-05,M03,1187,4.8,97.9,1300.7
2022-05-09,M03,730,1.9,96.6,593.9
2022-05-11,M03,771,6.8,98.9,759.5
2022-05-12,M03,816,5.3,85.0,887.5
2022-05-12,M03,796,0.5,87.3,938.8
2022-05-13,M03,1067,9.5,82.5,1232.3
2022-05-18,M03,748,5.8,91.5,785.2
2022-05-21,M03,1050,12.5,99.6,1212.0
2022-05-21,M03,800,2.7,83.3,737.0
2022-05-28,M03,760,6.6,83.9,828.6
2022-05-28,M03,1037,6.9,97.9,842.7
2022-06-05,M03,1067,5.6,98.5,1206.6
2022-06-07,M03,769,5.8,89.0,786.1
2022-06-08,M03,1111,10.0,87.5,893.0
2022-06-15,M03,1106,9.9,93.7,937.4
2022-06-17,M03,1188,3.1,86.4,1258.0
2022-06-26,M03,1094,4.4,98.2,1091.2
2022-07-01,M03,1149,11.0,88.1,1083.0
2022-07-04,M03,808,4.5,84.4,725.2
2022-07-05,M03,1172,6.3,98.1,1296.6
2022-07-06,M03,984,1.9,84.0,937.0
2022-07-14,M03,878,4.3,94.2,783.3
2022-07-14,M03,944,11.7,81.5,1127.3
2022-07-18,M03,1033,5.7,83.7,1081.3
2022-07-18,M03,1183,3.4,97.9,1278.3
2022-07-19,M03,1117,1.2,88.2,1018.0
2022-07-25,M03,913,3.1,85.5,765.0
2022-08-09,M03,765,8.5,87.3,691.7
2022-08-11,M03,865,6.3,90.5,898.1
2022-08-14,M03,1099,11.3,80.6,987.7
2022-08-17,M03,716,1.0,99.5,765.6
2022-08-23,M03,908,1.7,90.5,970.8
2022-08-30,M03,794,7.5,82.4,680.8
2022-08-30,M03,1089,9.9,86.6,1262.4
2022-09-03,M03,1190,0.7,95.7,1273.1
2022-09-08,M03,915,10.9,84.2,1061.8
2022-09-09,M03,1111,3.3,91.5,1232.6
2022-09-15,M03,1054,1.7,99.4,1131.9
2022-09-15,M03,1077,3.1,84.1,885.7
2022-09-16,M03,1001,1.8,89.2,1059.9
2022-09-23,M03,788,1.2,93.0,895.9
2022-09-24,M03,931,6.3,86.1,1098.9
2022-09-28,M03,860,2.0,90.0,962.3
2022-09-30,M03,872,11.7,83.3,908.2
2022-10-02,M03,1173,11.5,84.7,1120.5
2022-10-03,M03,899,4.0,86.5,791.5
2022-10-04,M03,1111,1.1,95.4,914.3
2022-10-05,M03,918,8.8,82.0,734.4
2022-10-08,M03,979,11.5,85.3,1079.2
2022-10-10,M03,1171,0.9,81.1,965.3
2022-10-12,M03,1182,3.1,84.9,1193.0
2022-10-13,M03,701,5.8,95.7,742.0
2022-10-13,M03,1082,8.0,87.9,972.8
2022-10-14,M03,1102,10.4,91.3,1144.0
2022-10-16,M03,1069,10.5,93.4,855.5
2022-10-19,M03,991,10.7,91.0,933.5
2022-11-06,M03,1074,8.2,83.3,919.0
2022-11-19,M03,1182,3.0,89.7,1128.0
2022-11-20,M03,804,4.7,97.7,916.1
2022-11-27,M03,1002,0.8,94.1,1033.0
2022-12-03,M03,1135,1.7,84.6,1315.8
2022-12-04,M03,1072,8.8,93.4,1221.8
2022-12-06,M03,1156,1.9,87.4,1330.2
2022-12-22,M03,777,6.3,84.8,926.3
2022-12-23,M03,783,7.0,97.5,821.0
2022-12-25,M03,1185,6.0,88.0,1389.8
2022-12-29,M03,800,2.7,95.8,894.6
2022-12-29,M03,925,9.4,99.7,930.4
