Datum,MaschinenID,Produktionsmenge,Fehlerquote,Effizienz,Verbrauchte_Rohstoffe
2022-01-10,M01,1068,4.0,84.3,1165.0
2022-01-26,M01,762,11.2,82.6,692.0
2022-01-29,M01,882,2.4,89.7,752.0
2022-02-01,M01,986,2.3,85.9,810.6
2022-02-01,M01,1060,10.9,98.6,975.9
2022-02-02,M01,743,9.1,80.3,672.3
2022-02-08,M01,742,10.0,84.6,729.0
2022-02-09,M01,1083,8.3,89.3,1162.4
2022-02-12,M01,777,0.7,97.5,837.8
2022-02-17,M01,1118,9.1,92.6,1021.2
2022-02-17,M01,948,3.4,97.2,902.5
2022-02-18,M01,1161,11.2,80.2,1012.9
2022-02-23,M01,874,0.5,99.2,974.9
2022-02-23,M01,1028,2.9,82.7,845.8
2022-02-27,M01,958,3.2,80.3,1033.5
2022-03-11,M01,809,2.9,82.9,899.2
2022-03-12,M01,1094,3.9,80.5,1215.4
2022-03-14,M01,922,8.9,87.9,833.3
2022-03-24,M01,969,9.2,89.9,920.1
2022-03-26,M01,795,11.8,83.8,822.9
2022-03-29,M01,723,8.3,85.6,657.3
2022-03-29,M01,700,2.0,90.4,663.8
2022-03-30,M01,830,11.2,97.3,729.4
2022-03-30,M01,1070,7.3,84.1,1052.8
2022-04-02,M01,1068,4.1,92.8,873.5
2022-04-05,M01,1113,4.2,88.4,1246.5
2022-04-06,M01,716,0.6,93.4,594.8
2022-04-10,M01,909,2.3,95.3,915.8
2022-04-10,M01,996,5.2,87.4,919.0
2022-04-16,M01,1188,8.9,92.6,1224.8
2022-04-26,M01,1151,11.5,83.7,1362.5
2022-04-28,M01,1004,6.4,97.5,1062.5
2022-04-30,M01,926,6.8,99.6,753.9
2022-05-02,M01,719,2.6,96.4,699.0
2022-05-08,M01,786,5.8,82.0,789.1
2022-05-08,M01,880,1.0,99.5,892.7
2022-05-09,M01,994,1.0,97.5,1066.1
2022-05-09,M01,975,2.7,86.8,888.3
2022-05-12,M01,1023,5.6,99.2,871.1
2022-05-24,M01,1052,2.5,81.6,1006.8
2022-05-28,M01,741,10.1,91.0,876.3
2022-05-28,M01,758,7.2,91.7,663.1
2022-05-29,M01,960,0.6,88.1,1115.1
2022-06-01,M01,1007,0.4,85.6,1024.6
2022-06-13,M01,780,4.7,91.7,766.6
2022-06-13,M01,884,3.5,81.8,1019.1
2022-06-15,M01,798,5.6,90.3,784.8
2022-06-19,M01,1031,8.4,81.6,1123.4
2022-06-22,M01,992,8.7,96.6,951.9
2022-06-24,M01,887,5.6,91.7,1030.4
2022-06-27,M01,750,7.8,95.0,807.0
2022-06-28,M01,810,7.5,97.2,874.7
2022-06-30,M01,1017,8.8,95.5,946.9
2022-07-03,M01,732,9.2,81.3,807.2
2022-07-05,M01,966,8.8,84.8,1018.6
2022-07-12,M01,1049,12.0,85.5,939.9
2022-07-13,M01,1142,7.3,87.5,986.9
2022-07-15,M01,742,7.7,99.1,830.0
2022-07-17,M01,852,9.6,84.9,1008.5
2022-07-17,M01,1130,12.5,89.8,1111.1
2022-07-22,M01,711,12.2,93.4,736.9
2022-07-23,M01,1028,9.3,90.2,1175.1
2022-07-27,M01,839,5.8,81.1,824.6
2022-07-31,M01,1187,8.4,98.9,1401.6
2022-08-16,M01,1151,1.1,84.6,1185.9
2022-08-31,M01,901,7.8,85.1,1016.6
2022-09-01,M01,1111,1.8,98.1,1292.7
2022-09-01,M01,782,9.0,82.9,880.7
2022-09-02,M01,958,10.7,95.7,827.5
2022-09-02,M01,1071,3.0,99.0,1126.2
2022-09-09,M01,798,5.5,83.7,765.6
2022-09-14,M01,849,5.0,91.1,700.5
2022-09-15,M01,980,7.9,97.0,950.2
2022-09-20,M01,1150,3.1,82.0,1039.0
2022-09-23,M01,823,1.5,91.3,937.9
2022-09-23,M01,736,1.1,85.8,598.6
2022-09-25,M01,1063,7.5,89.6,1258.2
2022-10-01,M01,884,4.5,98.8,832.9
2022-10-05,M01,1105,3.8,94.6,1041.7
2022-10-07,M01,937,8.6,82.6,755.7
2022-10-13,M01,970,10.6,81.7,847.9
2022-10-16,M01,893,5.3,99.2,857.7
2022-10-18,M01,828,6.7,99.5,970.2
2022-10-19,M01,703,11.7,86.9,590.4
2022-10-20,M01,1083,5.5,84.3,1275.9
2022-11-02,M01,1077,12.4,95.4,1236.2
2022-11-11,M01,743,7.5,88.5,729.4
2022-11-18,M01,825,7.3,92.4,767.8
2022-11-20,M01,1087,8.2,96.0,970.8
2022-11-21,M01,1110,6.3,84.5,1160.8
2022-11-30,M01,1119,10.1,94.3,910.0
2022-12-01,M01,970,4.9,86.7,782.1
2022-12-02,M01,1144,11.6,96.0,1111.4
2022-12-02,M01,927,2.1,87.1,766.8
2022-12-04,M01,1077,4.8,82.4,970.1
2022-12-05,M01,848,10.9,98.8,753.4
2022-12-08,M01,786,6.8,94.5,708.4
2022-12-23,M01,1192,4.1,98.1,1016.1
2022-12-25,M01,794,7.8,83.0,639.0
2022-12-26,M01,1161,0.5,93.7,982.4
