Datum,MaschinenID,Produktionsmenge,Fehlerquote,Effizienz,Verbrauchte_Rohstoffe
2023-01-02,M01,700,4.2,87.1,596.8
2023-01-03,M01,977,11.8,98.5,1085.7
2023-01-04,M01,1001,5.3,97.5,817.9
2023-01-10,M01,915,1.9,91.1,917.4
2023-01-13,M01,967,2.8,84.4,891.7
2023-01-16,M01,921,4.2,87.2,874.2
2023-01-22,M01,873,10.3,90.3,848.1
2023-01-29,M01,1136,11.1,96.0,1214.6
2023-01-29,M01,966,11.4,97.3,1081.5
2023-01-29,M01,930,2.7,86.3,811.6
2023-02-01,M01,1010,4.0,99.2,1159.6
2023-02-04,M01,1023,0.6,91.0,862.0
2023-02-12,M01,1042,8.9,83.9,1021.9
2023-03-04,M01,858,10.5,96.1,767.4
2023-03-06,M01,988,9.5,83.0,1181.3
2023-03-19,M01,743,8.7,99.6,627.8
2023-03-23,M01,933,4.1,88.9,1089.4
2023-03-24,M01,1042,5.9,94.8,1099.7
2023-03-25,M01,839,10.0,97.0,693.5
2023-03-27,M01,985,7.9,80.6,1083.0
2023-03-29,M01,1141,5.1,82.1,1053.2
2023-03-30,M01,741,3.0,94.3,779.0
2023-04-05,M01,982,11.1,80.8,1145.2
2023-04-07,M01,998,4.5,96.0,812.1
2023-04-17,M01,1151,12.3,82.2,1249.4
2023-04-21,M01,1104,4.2,94.8,1161.2
2023-04-22,M01,1188,3.9,81.5,950.6
2023-04-28,M01,843,11.0,80.8,917.3
2023-04-29,M01,1167,2.4,87.6,1279.2
2023-05-01,M01,1003,0.7,85.8,1146.1
2023-05-02,M01,736,5.7,99.1,877.0
2023-05-03,M01,917,6.6,85.2,958.9
2023-05-08,M01,762,9.0,91.7,633.4
2023-05-18,M01,1178,11.5,88.3,1191.3
2023-05-22,M01,1021,12.5,91.2,1087.5
2023-05-23,M01,794,6.9,99.3,821.5
2023-06-01,M01,949,8.1,94.4,1051.9
2023-06-04,M01,1016,8.9,81.2,1125.3
2023-06-14,M01,723,3.9,95.4,790.1
2023-06-16,M01,1192,11.7,98.4,1317.5
2023-06-17,M01,716,7.8,83.9,702.4
2023-06-19,M01,1197,10.6,88.7,1037.3
2023-06-21,M01,729,7.8,87.0,817.9
2023-06-21,M01,1090,7.1,93.2,1230.0
2023-06-22,M01,970,1.8,92.0,928.5
2023-07-04,M01,855,0.9,93.0,750.1
2023-07-06,M01,1185,4.8,96.7,1143.1
2023-07-09,M01,954,1.5,87.5,1144.2
2023-07-17,M01,782,1.6,86.0,926.1
2023-07-18,M01,1147,2.9,94.2,1343.9
2023-07-22,M01,758,11.1,96.9,666.3
2023-07-22,M01,987,12.1,99.7,828.6
2023-07-29,M01,780,3.5,95.4,808.0
2023-08-08,M01,742,3.6,82.5,793.0
2023-08-08,M01,1037,6.2,89.9,1220.8
2023-08-11,M01,768,1.6,99.7,883.4
2023-08-14,M01,1077,9.7,90.9,1100.8
2023-08-16,M01,1169,7.7,96.8,1155.1
2023-08-21,M01,861,11.3,86.6,818.7
2023-08-24,M01,978,6.8,88.6,1113.1
2023-08-29,M01,1183,1.0,88.3,1363.6
2023-09-01,M01,818,12.3,92.8,838.3
2023-09-01,M01,980,8.3,94.4,965.1
2023-09-08,M01,1039,0.5,91.8,1185.0
2023-09-11,M01,737,5.7,86.4,672.6
2023-09-14,M01,962,9.6,84.6,826.0
2023-09-20,M01,1073,1.9,95.8,881.4
2023-10-06,M01,1081,11.4,93.3,950.8
2023-10-07,M01,1064,6.1,80.8,1199.4
2023-10-10,M01,961,1.9,94.0,928.4
2023-10-12,M01,990,3.4,98.2,1144.5
2023-10-14,M01,1149,6.4,93.3,1332.3
2023-10-15,M01,999,1.7,96.0,1061.7
2023-10-19,M01,1174,8.9,86.2,1315.7
2023-10-20,M01,1176,8.5,84.0,1137.1
2023-10-25,M01,831,4.2,81.4,797.9
2023-10-26,M01,720,11.3,99.6,763.5
2023-10-27,M01,1011,12.4,98.6,1209.4
2023-10-30,M01,950,3.8,89.6,1063.9
2023-11-03,M01,973,11.7,98.1,818.0
2023-11-05,M01,1144,4.2,80.4,1338.9
2023-11-06,M01,836,6.3,90.0,730.8
2023-11-10,M01,725,5.9,80.8,752.9
2023-11-12,M01,937,3.6,96.6,1038.1
2023-11-14,M01,1190,8.6,86.8,1150.5
2023-11-15,M01,819,2.7,80.9,879.4
2023-11-19,M01,1058,1.5,97.6,993.1
2023-11-21,M01,767,12.0,98.0,674.0
2023-11-21,M01,1175,6.9,91.8,1328.8
2023-11-24,M01,1185,8.2,90.6,1226.8
2023-11-25,M01,707,2.0,94.8,628.2
2023-11-27,M01,1027,6.2,100.0,884.5
2023-11-28,M01,1027,6.7,81.2,1215.8
2023-12-03,M01,1123,6.3,89.8,1021.4
2023-12-06,M01,970,8.2,88.1,924.6
2023-12-14,M01,1039,11.3,93.8,1020.8
2023-12-19,M01,853,6.9,87.0,764.4
2023-12-22,M01,1168,8.5,87.2,977.8
2023-12-26,M01,925,5.1,82.8,932.4
2023-12-30,M01,1072,2.7,84.6,1155.8
