Datum,MaschinenID,Temperatur,Druck
2023-01-01,M01,73.0,3.4
2023-01-09,M01,72.8,3.2
2023-01-12,M01,75.1,4.8
2023-01-18,M01,77.3,6.2
2023-01-25,M01,80.2,8.2
2023-01-30,M01,73.0,3.4
2023-02-04,M01,76.8,5.9
2023-02-05,M01,78.1,6.8
2023-02-12,M01,72.4,3.0
2023-02-14,M01,78.1,6.8
2023-02-17,M01,77.1,6.1
2023-02-22,M01,74.6,4.4
2023-03-07,M01,72.7,3.2
2023-03-11,M01,78.6,7.1
2023-03-16,M01,73.7,3.8
2023-03-17,M01,72.9,3.3
2023-03-20,M01,72.1,2.8
2023-03-31,M01,79.7,7.8
2023-04-04,M01,80.5,8.4
2023-04-06,M01,76.4,5.6
2023-04-07,M01,74.0,4.0
2023-04-07,M01,78.1,6.8
2023-04-09,M01,75.3,4.9
2023-04-15,M01,72.1,2.8
2023-04-15,M01,80.2,8.2
2023-04-17,M01,77.8,6.6
2023-04-24,M01,78.8,7.2
2023-04-30,M01,75.0,4.7
2023-05-01,M01,80.0,8.0
2023-05-03,M01,77.8,6.6
2023-05-12,M01,72.3,2.9
2023-05-12,M01,78.2,6.8
2023-05-26,M01,78.9,7.3
2023-05-26,M01,74.9,4.6
2023-05-28,M01,74.0,4.0
2023-05-31,M01,80.9,8.6
2023-06-06,M01,78.4,7.0
2023-06-15,M01,74.4,4.3
2023-06-22,M01,74.7,4.5
2023-06-27,M01,75.8,5.2
2023-06-27,M01,77.7,6.5
2023-07-07,M01,75.0,4.7
2023-07-14,M01,78.0,6.7
2023-07-16,M01,79.0,7.4
2023-07-18,M01,76.0,5.4
2023-07-20,M01,76.2,5.5
2023-07-20,M01,76.5,5.7
2023-07-24,M01,77.4,6.3
2023-07-25,M01,80.0,8.0
2023-07-31,M01,80.1,8.1
2023-08-10,M01,78.9,7.3
2023-08-13,M01,75.0,4.7
2023-08-16,M01,79.3,7.6
2023-08-18,M01,73.8,3.9
2023-08-19,M01,79.7,7.8
2023-08-29,M01,74.2,4.2
2023-09-04,M01,74.4,4.3
2023-09-14,M01,77.7,6.5
2023-09-18,M01,74.4,4.3
2023-09-18,M01,76.8,5.9
2023-09-20,M01,79.6,7.8
2023-09-28,M01,80.8,8.6
2023-09-30,M01,75.6,5.1
2023-10-02,M01,73.9,4.0
2023-10-06,M01,78.7,7.2
2023-10-09,M01,77.9,6.6
2023-10-13,M01,73.7,3.8
2023-10-17,M01,74.0,4.0
2023-10-18,M01,77.5,6.4
2023-10-25,M01,76.6,5.8
2023-10-25,M01,77.7,6.5
2023-10-26,M01,78.2,6.8
2023-10-27,M01,79.6,7.8
2023-10-30,M01,77.2,6.2
2023-11-06,M01,78.1,6.8
2023-11-09,M01,78.7,7.2
2023-11-11,M01,74.4,4.3
2023-11-13,M01,74.1,4.1
2023-11-14,M01,81.0,8.7
2023-11-14,M01,80.7,8.5
2023-11-15,M01,78.0,6.7
2023-11-17,M01,75.8,5.2
2023-11-19,M01,74.0,4.0
2023-11-20,M01,76.5,5.7
2023-11-20,M01,72.9,3.3
2023-11-21,M01,80.3,8.2
2023-11-22,M01,72.4,3.0
2023-12-04,M01,77.8,6.6
2023-12-04,M01,72.1,2.8
2023-12-06,M01,76.1,5.4
2023-12-07,M01,79.6,7.8
2023-12-09,M01,74.0,4.0
2023-12-13,M01,77.5,6.4
2023-12-15,M01,74.0,4.0
2023-12-16,M01,73.8,3.9
2023-12-21,M01,76.4,5.6
2023-12-21,M01,79.2,7.5
2023-12-24,M01,75.6,5.1
2023-12-26,M01,76.7,5.8
2023-12-29,M01,80.2,8.2
