Datum,MaschinenID,Produktionsmenge,Fehlerquote,Effizienz,Verbrauchte_Rohstoffe
2023-01-02,M02,901,10.7,95.5,825.6
2023-01-04,M02,981,6.6,91.9,1164.8
2023-01-07,M02,819,5.8,95.0,708.4
2023-01-07,M02,1069,9.7,90.7,1184.7
2023-01-07,M02,1142,4.1,82.7,1194.8
2023-01-14,M02,935,11.9,96.4,804.0
2023-01-23,M02,835,5.2,90.3,725.1
2023-01-26,M02,1048,7.1,84.5,1191.7
2023-02-04,M02,857,1.1,92.4,886.9
2023-02-04,M02,1071,12.4,91.8,1241.6
2023-02-07,M02,814,1.4,82.9,963.1
2023-02-13,M02,1038,1.6,90.7,1073.5
2023-02-18,M02,1138,7.7,84.6,1016.6
2023-02-21,M02,1125,5.1,85.1,961.4
2023-02-22,M02,1098,3.0,88.6,992.7
2023-02-22,M02,931,7.5,95.2,758.6
2023-02-22,M02,1015,2.2,83.1,903.5
2023-02-27,M02,915,5.9,85.9,1073.8
2023-03-03,M02,775,5.1,83.8,629.3
2023-03-04,M02,751,8.0,97.0,708.0
2023-03-14,M02,797,3.2,95.5,723.1
2023-03-15,M02,873,11.6,95.6,835.4
2023-03-15,M02,1069,10.2,89.9,1204.2
2023-03-17,M02,977,9.5,90.9,919.6
2023-03-20,M02,1176,1.3,86.2,1199.2
2023-03-22,M02,807,12.3,95.6,894.6
2023-03-22,M02,1047,10.0,96.4,959.7
2023-03-26,M02,1156,4.9,82.4,1291.8
2023-03-27,M02,971,1.7,90.9,958.6
2023-04-01,M02,1198,6.9,89.6,1196.4
2023-04-10,M02,799,11.5,87.8,665.3
2023-04-14,M02,1037,11.9,81.4,1189.9
2023-04-18,M02,982,0.7,92.8,1103.5
2023-04-18,M02,1019,7.4,80.8,1192.7
2023-04-30,M02,1014,3.4,80.7,857.7
2023-05-06,M02,712,2.5,94.2,596.8
2023-05-06,M02,886,11.1,96.8,774.3
2023-05-08,M02,1114,4.4,83.9,1261.5
2023-05-11,M02,1156,1.0,83.0,1036.2
2023-05-13,M02,1074,9.7,96.5,1088.4
2023-05-22,M02,1192,8.8,84.9,1068.0
2023-05-25,M02,960,12.2,98.7,955.0
2023-05-26,M02,1013,0.3,83.6,900.1
2023-05-29,M02,888,11.5,89.8,860.3
2023-06-04,M02,944,5.5,99.4,820.2
2023-06-04,M02,1130,11.1,95.1,1194.9
2023-06-05,M02,1192,6.5,97.9,1197.4
2023-06-05,M02,908,3.0,98.6,836.0
2023-06-13,M02,1176,8.7,93.8,1318.6
2023-06-14,M02,837,3.5,82.1,866.8
2023-06-26,M02,1184,3.5,87.6,1411.9
2023-07-08,M02,803,6.0,95.0,887.2
2023-07-08,M02,900,2.8,98.2,774.3
2023-07-11,M02,938,1.0,89.0,1011.5
2023-07-13,M02,1097,3.8,93.3,1023.6
2023-07-25,M02,1031,1.7,93.4,1067.5
2023-07-31,M02,950,2.1,95.3,768.2
2023-08-02,M02,999,10.0,96.6,856.4
2023-08-03,M02,777,5.6,93.6,828.8
2023-08-08,M02,907,3.4,94.3,933.8
2023-08-17,M02,1189,10.7,92.9,1210.2
2023-08-18,M02,763,6.0,84.7,669.1
2023-08-20,M02,929,8.3,86.2,1046.0
2023-08-23,M02,850,1.7,87.3,734.2
2023-08-27,M02,727,10.9,96.2,626.8
2023-08-29,M02,969,6.3,99.1,913.3
2023-08-30,M02,1134,1.7,97.3,1136.8
2023-08-30,M02,809,4.5,99.3,677.7
2023-09-11,M02,874,12.3,86.4,903.4
2023-09-12,M02,1072,12.2,98.6,1147.4
2023-09-13,M02,1156,5.8,95.8,1028.1
2023-09-14,M02,1060,10.7,92.7,1019.7
2023-09-23,M02,954,11.2,87.1,1038.6
2023-09-25,M02,1165,4.6,97.0,1021.2
2023-09-26,M02,1130,7.5,81.4,978.0
2023-10-02,M02,1160,2.2,81.3,1149.5
2023-10-05,M02,857,1.5,91.1,901.5
2023-10-07,M02,1100,10.2,88.4,1033.4
2023-10-09,M02,1092,0.5,95.1,904.2
2023-10-10,M02,1047,0.9,89.0,1160.2
2023-10-11,M02,1093,11.7,82.0,875.6
2023-10-21,M02,1131,7.8,85.5,1070.5
2023-10-22,M02,974,7.9,82.7,1075.8
2023-10-27,M02,860,2.1,97.1,865.5
2023-10-30,M02,778,6.5,93.9,863.6
2023-11-02,M02,713,7.0,86.1,633.1
2023-11-11,M02,711,6.5,82.0,607.5
2023-11-15,M02,843,6.5,82.6,886.5
2023-11-22,M02,858,9.7,99.4,706.5
2023-11-23,M02,808,8.2,96.6,965.5
2023-11-23,M02,942,8.6,96.2,893.5
2023-11-25,M02,1108,0.4,87.4,1210.1
2023-12-02,M02,946,7.6,99.6,819.8
2023-12-07,M02,776,6.5,83.8,768.9
2023-12-15,M02,1138,4.2,91.3,1304.5
2023-12-17,M02,838,12.1,91.7,993.0
2023-12-18,M02,1072,10.4,85.1,1085.7
2023-12-25,M02,1008,10.5,84.2,955.2
2023-12-30,M02,764,8.5,98.5,774.0
2023-12-30,M02,808,3.1,96.1,773.3
