Datum,MaschinenID,Wartungsgrund,Wartungsdauer
2023-01-14,M03,Routine-Check,10
2023-01-19,M03,Austausch von Verschleißteilen,7
2023-01-19,M03,Routine-Check,2
2023-01-20,M03,Routine-Check,1
2023-01-27,M03,Routine-Check,10
2023-01-29,M03,Austausch von Verschleißteilen,7
2023-02-01,M03,Notfallreparatur,10
2023-02-02,M03,Austausch von Verschleißteilen,9
2023-02-03,M03,Routine-Check,11
2023-02-06,M03,Routine-Check,4
2023-02-11,M03,Routine-Check,2
2023-02-16,M03,Notfallreparatur,3
2023-02-17,M03,Austausch von Verschleißteilen,4
2023-02-19,M03,Notfallreparatur,10
2023-02-25,M03,Routine-Check,5
2023-02-26,M03,Routine-Check,4
2023-02-26,M03,Routine-Check,1
2023-03-01,M03,Routine-Check,13
2023-03-02,M03,Austausch von Verschleißteilen,6
2023-03-09,M03,Routine-Check,12
2023-03-13,M03,Routine-Check,1
2023-03-16,M03,Austausch von Verschleißteilen,11
2023-03-19,M03,Notfallreparatur,9
2023-03-26,M03,Austausch von Verschleißteilen,1
2023-03-27,M03,Routine-Check,5
2023-03-29,M03,Austausch von Verschleißteilen,15
2023-03-31,M03,Austausch von Verschleißteilen,12
2023-04-02,M03,Austausch von Verschleißteilen,1
2023-04-02,M03,Routine-Check,1
2023-04-04,M03,Notfallreparatur,9
2023-04-09,M03,Austausch von Verschleißteilen,2
2023-04-10,M03,Notfallreparatur,1
2023-04-10,M03,Notfallreparatur,6
2023-04-10,M03,Routine-Check,4
2023-04-14,M03,Routine-Check,8
2023-04-16,M03,Routine-Check,13
2023-04-18,M03,Notfallreparatur,1
2023-04-29,M03,Routine-Check,12
2023-05-03,M03,Routine-Check,2
2023-05-06,M03,Routine-Check,3
2023-05-11,M03,Notfallreparatur,12
2023-05-16,M03,Notfallreparatur,2
2023-05-26,M03,Austausch von Verschleißteilen,1
2023-05-27,M03,Notfallreparatur,11
2023-05-30,M03,Notfallreparatur,3
2023-05-31,M03,Notfallreparatur,7
2023-06-01,M03,Routine-Check,4
2023-06-04,M03,Austausch von Verschleißteilen,4
2023-06-07,M03,Notfallreparatur,13
2023-06-11,M03,Austausch von Verschleißteilen,8
2023-06-12,M03,Routine-Check,14
2023-06-12,M03,Routine-Check,5
2023-06-23,M03,Routine-Check,9
2023-07-08,M03,Routine-Check,13
2023-07-17,M03,Austausch von Verschleißteilen,14
2023-07-19,M03,Austausch von Verschleißteilen,7
2023-08-01,M03,Notfallreparatur,1
2023-08-02,M03,Routine-Check,7
2023-08-05,M03,Notfallreparatur,11
2023-08-09,M03,Routine-Check,7
2023-08-09,M03,Notfallreparatur,6
2023-08-10,M03,Notfallreparatur,10
2023-08-12,M03,Routine-Check,13
2023-08-25,M03,Routine-Check,14
2023-08-25,M03,Routine-Check,10
2023-08-31,M03,Routine-Check,15
2023-09-06,M03,Notfallreparatur,11
2023-09-11,M03,Routine-Check,4
2023-09-14,M03,Austausch von Verschleißteilen,6
2023-09-16,M03,Notfallreparatur,6
2023-09-20,M03,Notfallreparatur,8
2023-09-20,M03,Austausch von Verschleißteilen,6
2023-09-26,M03,Austausch von Verschleißteilen,3
2023-10-02,M03,Routine-Check,6
2023-10-03,M03,Notfallreparatur,7
2023-10-04,M03,Routine-Check,15
2023-10-04,M03,Austausch von Verschleißteilen,11
2023-10-07,M03,Austausch von Verschleißteilen,4
2023-10-09,M03,Austausch von Verschleißteilen,10
2023-10-14,M03,Routine-Check,7
2023-10-15,M03,Notfallreparatur,11
2023-10-19,M03,Routine-Check,8
2023-10-19,M03,Routine-Check,6
2023-10-19,M03,Austausch von Verschleißteilen,9
2023-10-21,M03,Routine-Check,7
2023-10-22,M03,Austausch von Verschleißteilen,3
2023-10-23,M03,Notfallreparatur,2
2023-10-30,M03,Routine-Check,1
2023-10-31,M03,Notfallreparatur,14
2023-11-07,M03,Notfallreparatur,14
2023-11-14,M03,Notfallreparatur,9
2023-11-16,M03,Austausch von Verschleißteilen,4
2023-11-25,M03,Notfallreparatur,12
2023-11-25,M03,Notfallreparatur,12
2023-11-26,M03,Routine-Check,10
2023-12-03,M03,Routine-Check,13
2023-12-11,M03,Notfallreparatur,13
2023-12-24,M03,Routine-Check,6
2023-12-25,M03,Routine-Check,3
2023-12-31,M03,Routine-Check,11
