Datum,MaschinenID,Temperatur,Druck
2023-01-09,M03,73.9,4.0
2023-01-12,M03,77.6,6.4
2023-01-22,M03,74.0,4.0
2023-01-23,M03,73.8,3.9
2023-01-25,M03,74.7,4.5
2023-01-27,M03,79.3,7.6
2023-01-30,M03,73.1,3.4
2023-02-01,M03,72.5,3.0
2023-02-08,M03,77.7,6.5
2023-02-11,M03,75.9,5.3
2023-02-12,M03,77.0,6.0
2023-02-17,M03,79.0,7.4
2023-02-26,M03,80.3,8.2
2023-03-01,M03,79.1,7.4
2023-03-02,M03,80.5,8.4
2023-03-03,M03,75.5,5.0
2023-03-06,M03,75.8,5.2
2023-03-09,M03,72.0,2.7
2023-03-09,M03,74.0,4.0
2023-03-11,M03,78.8,7.2
2023-03-16,M03,72.1,2.8
2023-03-16,M03,78.4,7.0
2023-03-17,M03,75.5,5.0
2023-03-18,M03,75.1,4.8
2023-03-23,M03,75.2,4.8
2023-03-23,M03,76.5,5.7
2023-03-24,M03,78.9,7.3
2023-04-16,M03,73.3,3.6
2023-04-21,M03,75.2,4.8
2023-04-24,M03,72.1,2.8
2023-04-28,M03,77.3,6.2
2023-05-02,M03,76.8,5.9
2023-05-05,M03,80.8,8.6
2023-05-08,M03,76.5,5.7
2023-05-16,M03,77.7,6.5
2023-05-18,M03,72.1,2.8
2023-05-23,M03,75.9,5.3
2023-05-25,M03,80.5,8.4
2023-05-27,M03,76.3,5.6
2023-06-09,M03,77.0,6.0
2023-06-13,M03,76.5,5.7
2023-06-18,M03,76.3,5.6
2023-06-18,M03,73.2,3.5
2023-06-19,M03,78.3,6.9
2023-06-22,M03,79.5,7.7
2023-06-27,M03,79.7,7.8
2023-07-04,M03,77.4,6.3
2023-07-05,M03,81.0,8.7
2023-07-06,M03,80.0,8.0
2023-07-13,M03,76.6,5.8
2023-07-17,M03,78.7,7.2
2023-07-18,M03,74.3,4.2
2023-07-23,M03,72.1,2.8
2023-07-24,M03,72.6,3.1
2023-07-26,M03,75.9,5.3
2023-07-26,M03,73.0,3.4
2023-07-31,M03,79.3,7.6
2023-08-01,M03,76.5,5.7
2023-08-04,M03,72.2,2.8
2023-08-05,M03,80.5,8.4
2023-08-07,M03,72.8,3.2
2023-08-08,M03,78.0,6.7
2023-08-12,M03,80.2,8.2
2023-08-13,M03,75.2,4.8
2023-08-15,M03,73.2,3.5
2023-08-25,M03,80.9,8.6
2023-08-28,M03,80.8,8.6
2023-08-28,M03,75.1,4.8
2023-08-28,M03,80.8,8.6
2023-08-29,M03,72.4,3.0
2023-08-30,M03,79.8,7.9
2023-08-30,M03,74.6,4.4
2023-09-07,M03,79.7,7.8
2023-09-10,M03,80.1,8.1
2023-09-13,M03,74.8,4.6
2023-09-21,M03,72.2,2.8
2023-09-26,M03,74.4,4.3
2023-09-28,M03,74.7,4.5
2023-10-02,M03,74.2,4.2
2023-10-11,M03,74.4,4.3
2023-10-12,M03,74.2,4.2
2023-10-13,M03,79.5,7.7
2023-10-19,M03,72.6,3.1
2023-10-22,M03,73.4,3.6
2023-10-28,M03,78.5,7.0
2023-10-31,M03,75.8,5.2
2023-11-03,M03,74.0,4.0
2023-11-04,M03,72.7,3.2
2023-11-07,M03,72.4,3.0
2023-11-17,M03,72.5,3.0
2023-11-21,M03,77.1,6.1
2023-11-22,M03,75.7,5.2
2023-11-28,M03,78.8,7.2
2023-12-02,M03,72.9,3.3
2023-12-02,M03,79.2,7.5
2023-12-04,M03,76.8,5.9
2023-12-26,M03,74.4,4.3
2023-12-28,M03,73.6,3.8
2023-12-30,M03,80.4,8.3
2023-12-31,M03,79.7,7.8
